TIME,LEAD_FORCE_X,LEAD_FORCE_Y,LEAD_FORCE_Z,LEAD_COFP_X,LEAD_COFP_Y,LEAD_COFP_Z,LEAD_FREEMOMENT_X,LEAD_FREEMOMENT_Y,LEAD_FREEMOMENT_Z,REAR_FORCE_X,REAR_FORCE_Y,REAR_FORCE_Z,REAR_COFP_X,REAR_COFP_Y,REAR_COFP_Z,REAR_FREEMOMENT_X,REAR_FREEMOMENT_Y,REAR_FREEMOMENT_Z,REAR_MOMENTUM_X,REAR_MOMENTUM_Y,REAR_MOMENTUM_Z,LEAD_MOMENTUM_X,LEAD_MOMENTUM_Y,LEAD_MOMENTUM_Z,REAR_RESULT,LEAD_RESULT,kh_time,fc_time,mer_time,br_time,mir_time
0.91592,4.0004252653485693e-135,2.809575862581008e-135,-8.497586611355281e-135,,,,-4.180248950438397e-139,-3.260433604381934e-137,-4.2305854898168024e-136,-3.2959378293824133,0.651530841793778,93.28629725885513,0.49004,0.1535,0.00119,0.01826473430328913,-0.00011001173415799887,-9.335352086828319,0.011505126545285856,-0.04142609845800473,8.269900800433314,-1.6625161327011367e-138,-5.715096958192528e-138,1.005531773065928e-137,93.3467779566089,9.803371718379422e-135,2442,3324,3468,3516,3510
0.91684,7.470254490658053e-135,-5.269556993292401e-135,-2.5835850169740363e-134,,,,-1.2766161888817393e-138,-9.90138768627562e-137,-1.285016553570726e-135,-3.2820202045417695,0.6490756424393045,93.08851216944453,0.49005,0.15334,0.00119,0.018263919650353646,-0.00011001202481345545,-9.334968257520593,0.011208289611046982,-0.04136740728979723,8.278311150083576,-1.1448902380315637e-138,-5.604087849688042e-138,8.505987062475503e-138,93.14861273112686,2.740554847205264e-134,2442,3324,3468,3516,3510
0.91777,1.094845697984229e-134,-1.5050761686693914e-134,-4.48107998848719e-134,,,,-2.2166414534174308e-138,-1.7168444434491686e-136,-2.2282567639326466e-135,-3.267584727509393,0.6465900128062044,92.89155396475331,0.49051,0.15343,0.00119,0.018265014841935222,-0.00011001051916561509,-9.335541319210122,0.010909519557664074,-0.04130830355743472,8.286794909770387,-3.04693086237497e-139,-4.67714603262246e-138,5.28333415025933e-138,92.95125597098078,4.852217971104705e-134,2442,3324,3468,3516,3510
0.91869,1.395485359811613e-134,-2.568926489753098e-134,-6.328207097234338e-134,,,,-3.1321723310693127e-138,-2.4241667237675846e-136,-3.146358945380438e-135,-3.252415396812785,0.6442218869473206,92.6947034222795,0.49,0.15346,0.00119,0.01826892842888095,-0.00011000673273472766,-9.337531140549581,0.010615298032053902,-0.04125005437964644,8.295169675221235,8.190937069034938e-139,-2.838711592982664e-138,4.055352599564632e-139,92.75398250370385,6.9708656395522905e-134,2442,3324,3468,3516,3510
0.91962,1.5930115499975482e-134,-3.5966878880454615e-134,-7.853453654881511e-134,,,,-3.888774929383917e-138,-3.008106069466277e-136,-3.904338502534593e-135,-3.2362565688808336,0.6421580401595586,92.49706141332611,0.48969,0.15323,0.00119,0.018276481039693763,-0.00011000042576921341,-9.341355531483151,0.010319307527330844,-0.04119137422970157,8.303617475361857,2.1823413997665702e-138,-2.6174110334225117e-140,-6.06364201703237e-138,92.55588632620179,8.783540508918388e-134,2442,3324,3468,3516,3510
0.92055,1.6289547860431078e-134,-4.434859054820706e-134,-8.748199584367053e-134,,,,-4.333580751619063e-138,-3.350461994568684e-136,-4.3487761179474734e-135,-3.218840544232511,0.6405958976292777,92.29758763255991,0.48945,0.15331,0.00119,0.01828824931319686,-0.00010999170116729256,-9.347310863709078,0.010024848589870513,-0.04113285948469843,8.312047160470058,3.652089673446535e-138,3.637536500858267e-138,-1.363673516691408e-137,92.35592011529813,9.942457668957804e-134,2442,3324,3468,3516,3510
0.92147,1.4496593131417762e-134,-4.910016343989945e-134,-8.698370901966844e-134,,,,-4.310949251250055e-138,-3.33095958014431e-136,-4.3235567134243835e-135,-3.199921553267941,0.6397121706703783,92.0951589537684,0.4904,0.15339,0.00119,0.018304434883717174,-0.00010998107937356873,-9.355505212545966,0.009735195531458697,-0.04107508430280834,8.320368067552513,5.0413450718447537e-138,7.854504973325707e-138,-2.150967456457739e-137,92.15295455018381,1.0093137716815845e-133,2442,3324,3468,3516,3510
0.9224,1.0151792497952645e-134,-4.846880853319548e-134,-7.426383881482551e-134,,,,-3.683232534204159e-138,-2.8433162908402e-136,-3.690722984933061e-135,-3.1793097369867658,0.6396323141998453,91.88864743061384,0.48928,0.15296,0.00119,0.018324784905559235,-0.00010996953551796664,-9.365817412887452,0.009444197327306798,-0.04101672508511426,8.328760764856446,6.165718154906912e-138,1.2305259983336327e-137,-2.8865223330369475e-137,91.94585725593471,8.926030499087171e-134,2442,3324,3468,3516,3510
0.92333,3.089515456986026e-135,-4.092084647453198e-134,-4.740658413211494e-134,,,,-2.35529723558762e-138,-1.814206150329961e-136,-2.3550899523426345e-135,-3.1568982316391616,0.6404053880734543,91.67700930173987,0.49054,0.15347,0.00119,0.01834858404082553,-0.00010995848450401856,-9.377892114449972,0.009155161696505976,-0.04095833424526851,8.337134387636777,6.769740279233363e-138,1.6382903180996267e-137,-3.44154021787285e-137,91.7335825094458,6.270123604065923e-134,2442,3324,3468,3516,3510
0.92425,-6.528626804003304e-135,-2.5420544119676277e-134,-5.881089339804231e-135,,,,-3.005320851394138e-139,-2.2336211145987087e-137,-2.903373338490809e-136,-3.132678283421182,0.641988921494683,91.4593720853271,0.4903,0.15313,0.00119,0.018374726069930004,-0.00010994970215253353,-9.39117503702796,0.008871338266687354,-0.04090046491965494,8.34539859998325,6.614546940587855e-138,1.9376624772950613e-137,-3.682006173182241e-137,91.51525864709693,2.689636114996074e-134,2442,3324,3468,3516,3510
0.92518,-1.813764684920197e-134,-1.7238301556041086e-135,4.896774882644508e-134,,,,2.414820661328377e-138,1.877630347799966e-136,2.436596215939163e-135,-3.1067403805752214,0.6442470298762094,91.2351072349488,0.48943,0.1529,0.00119,0.018401856643422927,-0.00010994517521487248,-9.404984284517724,0.008586717825201167,-0.04084179133737923,8.353732482699163,5.489357868486434e-138,2.0614856122078924e-137,-3.4854599129350084e-137,91.29026060977375,5.224735638060121e-134,2442,3324,3468,3516,3510
0.9261,-3.072609538047844e-134,2.934939025653219e-134,1.1354096178996822e-133,,,,5.61289145287e-138,4.350850750209133e-136,5.646713875796946e-135,-3.0792626510439556,0.6469625618335464,91.00388036471797,0.49063,0.15328,0.00119,0.01842856093803046,-0.00010994688020842676,-9.418604632216121,0.00830756825239631,-0.04078352421334373,8.361956199253585,3.2843326366297995e-138,1.93682250969644e-137,-2.752123105407356e-137,91.05825970479795,1.212313063938169e-133,2442,3324,3468,3516,3510
0.92703,-4.2841958038898675e-134,6.570855915950639e-134,1.8180606022923615e-133,,,,8.99524666651659e-138,6.965180606724381e-136,9.040050547009413e-135,-3.0504903422678855,0.649861524017207,90.76567835993622,0.49002,0.15314,0.00119,0.018453559192497405,-0.00010995650039750024,-9.431386211233606,0.008027950374976904,-0.04072436763743152,8.370247890329148,-7.158447217516765e-140,1.5032014147427739e-137,-1.404853362413472e-137,90.81925004902904,1.9800629194927555e-133,2442,3324,3468,3516,3510
0.92796,-5.266146941186411e-134,1.0389987988833382e-133,2.4540125781102167e-133,,,,1.2147991887962486e-137,9.400307232435237e-136,1.2200866926870188e-134,-3.020711253300767,0.6526460875895957,90.52081880749998,0.4901,0.15325,0.00119,0.01847587481139906,-0.00010997510125871207,-9.44282977194195,0.007751003407392651,-0.04066495179896666,8.378517545827187,-4.428116570482825e-138,7.295070787602048e-138,5.439168999248415e-138,90.5735572944538,2.7164350302677666e-133,2442,3324,3468,3516,3510
0.92888,-5.813024451153757e-134,1.3917503372816076e-133,2.9409434360884836e-133,,,,1.4564435783800488e-137,1.126431175427757e-135,1.4620475014914842e-134,-2.9902316286342967,0.6550312817093431,90.26994721992845,0.4898,0.15304,0.00119,0.018494950220023492,-0.00011000279642113918,-9.452645882175853,0.00747975359890244,-0.04060594154999968,8.38667590993494,-9.427703452990425e-138,-3.673927764256265e-138,2.9784447508922313e-137,90.32183524631003,3.305152012887232e-133,2442,3324,3468,3516,3510
0.92981,-5.717892314200834e-134,1.6576024586228316e-133,3.166393389635702e-133,,,,1.5687458418605813e-137,1.2126491924459097e-135,1.5739837810643687e-134,-2.959356071525776,0.6567801664647996,90.01402152873644,0.49047,0.15349,0.00119,0.01851069756457309,-0.00011003844694062959,-9.460781356827026,0.007208354231578092,-0.04054610130307404,8.394899833595364,-1.4687704099258326e-137,-1.7584007945693545e-137,5.764398053998664e-137,90.06504993792522,3.619480064032553e-133,2442,3324,3468,3516,3510
0.93073,-4.80058429997611e-134,1.7734870366143923e-133,3.0203186262870146e-133,,,,1.4971639021852196e-137,1.1565453236744057e-135,1.5011987104140766e-134,-2.9283736338181443,0.6577327700678979,89.75427789523594,0.48979,0.1529,0.00119,0.01852348230952626,-0.00011007944511007651,-9.467411767988152,0.006942664540894765,-0.04048678259230007,8.40301205787517,-1.9434271856171405e-137,-3.306714240189971e-137,8.556213718303709e-137,89.80444524093059,3.535256280603621e-133,2442,3324,3468,3516,3510
0.93166,-2.940770100610215e-134,1.6781526212336064e-133,2.411090740022779e-133,,,,1.1962472582113578e-137,9.230393013629558e-136,1.1981566150731063e-134,-2.8975501034486735,0.6578250951918788,89.4921730155909,0.4906,0.15309,0.00119,0.018534048727673533,-0.0001101216378992132,-9.472904506194993,0.006676906290733705,-0.04042677144693944,8.411188653603144,-2.2965606786315235e-137,-4.881231444712368e-137,1.1033832571886675e-136,89.54148514242051,2.9522933568030204e-133,2442,3324,3468,3516,3510
0.93259,-1.126767758006661e-135,1.3212120167869113e-133,1.2837594046489197e-133,,,,6.386828705643954e-138,4.911046151858015e-136,6.375616273710495e-135,-2.8671243250382963,0.6570960518380845,89.22930549939822,0.49034,0.15313,0.00119,0.018543406082579473,-0.00011015944267516315,-9.477761927266389,0.0064139420196666335,-0.04036678934643594,8.419341301927822,-2.4358482380693183e-137,-6.2494366148149775e-137,1.2719293888130816e-136,89.27777515721091,1.842217783782562e-133,2442,3324,3468,3516,3510
0.93351,3.582854526363303e-134,6.734071944307892e-134,-3.6127451391317514e-134,,,,-1.7545149541664625e-138,-1.3908056395374452e-136,-1.8036052812317787e-135,-2.837305426987516,0.6556821468220226,88.96732769528815,0.49055,0.15355,0.00119,0.018552699577285958,-0.00011018619751437525,-9.482556837370762,0.0061565239226767385,-0.04030754891744321,8.427382603197366,-2.2792529968974423e-137,-7.149528480069e-137,1.3135574419924192e-136,89.01497412460704,8.440171736908958e-134,2442,3324,3468,3516,3510
0.93444,7.894227964410686e-134,-2.6296636192066586e-134,-2.4516432191599005e-133,,,,-1.2104481538178367e-137,-9.397714169331774e-136,-1.2196045601219224e-134,-2.808268392290379,0.653801363673273,88.70786278394934,0.49032,0.1533,0.00119,0.018563088359443543,-0.00011019476925101824,-9.487871622006272,0.005898992604549622,-0.04024781486288669,8.435487523523863,-1.7557086634569957e-137,-7.336757222431e-137,1.1852419802216778e-136,88.75471112725376,2.5889948113303255e-133,2442,3324,3468,3516,3510
0.93536,1.2408602996446936e-133,-1.4448745353552633e-133,-4.831379198993404e-133,,,,-2.3891935024789687e-137,-1.8512040009522636e-135,-2.402605843979393e-134,-2.7801467450800676,0.6517284434303867,88.45243547960865,0.49041,0.1531,0.00119,0.01857564547221151,-0.00011017841445185791,-9.494248477746288,0.005646809783060665,-0.04018890152481134,8.443482059143303,-8.395231135174136e-138,-6.566076939126331e-137,8.565883105801201e-137,88.49851585288019,5.193228443908332e-133,2442,3324,3468,3516,3510
